------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     3  0.000000000000E+00  0.000000000000E+00  4.972592538028E+00

------ Current Surface: Coil-Plasma separation =   3.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  1.397136370966E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.215735006874E-02 -2.200366733027E-02  0.000000000000E+00  0.000000000000E+00
      0    -2  1.021923200067E-03  7.477420014078E-03  0.000000000000E+00  0.000000000000E+00
      0    -3  3.984808136195E-03 -3.529043752595E-03  0.000000000000E+00  0.000000000000E+00
      0    -4 -1.092366409753E-03  1.459715865551E-03  0.000000000000E+00  0.000000000000E+00
      0    -5  1.343534841777E-04 -5.300534210112E-04  0.000000000000E+00  0.000000000000E+00
      0    -6 -6.991526221876E-05  2.715472832445E-04  0.000000000000E+00  0.000000000000E+00
      0    -7 -1.163501816470E-04  1.489334595074E-04  0.000000000000E+00  0.000000000000E+00
      0    -8  2.520352694025E-05 -4.404193363299E-05  0.000000000000E+00  0.000000000000E+00
      0    -9 -3.081208808426E-05 -2.800832243761E-06  0.000000000000E+00  0.000000000000E+00
      0   -10  1.282044188619E-05 -2.252870117013E-05  0.000000000000E+00  0.000000000000E+00
      0   -11 -8.176658000534E-07 -1.019913502411E-05  0.000000000000E+00  0.000000000000E+00
      0   -12 -6.785618337948E-06  1.465812424174E-06  0.000000000000E+00  0.000000000000E+00
      0   -13  9.096164693142E-07 -5.430387026994E-06  0.000000000000E+00  0.000000000000E+00
      0   -14 -1.552760940486E-06  2.774933225530E-06  0.000000000000E+00  0.000000000000E+00
      0   -15 -7.064506052011E-07  4.203089702839E-07  0.000000000000E+00  0.000000000000E+00
      0   -16 -1.620121972252E-07  6.229164246205E-07  0.000000000000E+00  0.000000000000E+00
      0   -17 -3.577890365830E-07  4.448333125289E-07  0.000000000000E+00  0.000000000000E+00
      0   -18  4.512165779146E-08  1.976015108560E-09  0.000000000000E+00  0.000000000000E+00
      0   -19 -6.184972310919E-08  1.023387964967E-07  0.000000000000E+00  0.000000000000E+00
      0   -20 -4.331958348188E-08 -7.732735693698E-09  0.000000000000E+00  0.000000000000E+00
      0   -21 -2.979039586521E-09 -2.598422876073E-08  0.000000000000E+00  0.000000000000E+00
      0   -22 -1.288741638923E-08  3.558344897681E-09  0.000000000000E+00  0.000000000000E+00
      0   -23  7.150267668454E-09 -1.027751775597E-08  0.000000000000E+00  0.000000000000E+00
      0   -24  7.747804341997E-10  1.392757978578E-09  0.000000000000E+00  0.000000000000E+00
      1    24 -4.957008912731E-09 -1.204151801847E-09  0.000000000000E+00  0.000000000000E+00
      1    23 -3.104488835586E-09  6.095361357684E-09  0.000000000000E+00  0.000000000000E+00
      1    22 -5.237873069696E-09 -5.009044486438E-09  0.000000000000E+00  0.000000000000E+00
      1    21  1.637587753780E-08 -4.314771304725E-10  0.000000000000E+00  0.000000000000E+00
      1    20  3.349726292829E-08  2.599434053162E-09  0.000000000000E+00  0.000000000000E+00
      1    19  2.815351669266E-08 -2.580845285863E-08  0.000000000000E+00  0.000000000000E+00
      1    18  5.317782053111E-08  1.480786984863E-07  0.000000000000E+00  0.000000000000E+00
      1    17 -1.708668152390E-07 -1.398759701390E-07  0.000000000000E+00  0.000000000000E+00
      1    16  2.786405773800E-07  6.297592202024E-07  0.000000000000E+00  0.000000000000E+00
      1    15 -1.596568887264E-08  8.905391092566E-07  0.000000000000E+00  0.000000000000E+00
      1    14  2.272721968807E-07  1.183257553572E-06  0.000000000000E+00  0.000000000000E+00
      1    13  1.797002410573E-06  2.415144113077E-06  0.000000000000E+00  0.000000000000E+00
      1    12  8.998122857640E-07 -1.080990897021E-06  0.000000000000E+00  0.000000000000E+00
      1    11  9.048533069148E-06  1.493659865699E-06  0.000000000000E+00  0.000000000000E+00
      1    10  1.214646064937E-05 -2.451686886017E-06  0.000000000000E+00  0.000000000000E+00
      1     9 -1.863311906088E-05 -3.124547193639E-05  0.000000000000E+00  0.000000000000E+00
      1     8  5.193766143797E-05 -2.162221428788E-05  0.000000000000E+00  0.000000000000E+00
      1     7 -1.686997463994E-05  5.227293663692E-05  0.000000000000E+00  0.000000000000E+00
      1     6  1.594564608710E-04 -4.705689202829E-05  0.000000000000E+00  0.000000000000E+00
      1     5  9.907815404962E-05  3.263313364244E-04  0.000000000000E+00  0.000000000000E+00
      1     4 -5.585043674480E-04 -2.998942635977E-04  0.000000000000E+00  0.000000000000E+00
      1     3  3.274605144938E-03  2.646414325337E-03  0.000000000000E+00  0.000000000000E+00
      1     2 -1.109479645533E-02 -3.723768463432E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -1.783412711768E-02 -4.313749700035E-02  0.000000000000E+00  0.000000000000E+00
      1     0  6.007426978657E-01  7.030713927717E-01  0.000000000000E+00  0.000000000000E+00
      1    -1 -4.663720991567E-02  1.398027096450E-01  0.000000000000E+00  0.000000000000E+00
      1    -2 -1.249059864246E-02  1.828023727343E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -3.973983890386E-03  7.532619723254E-04  0.000000000000E+00  0.000000000000E+00
      1    -4  5.289910486685E-04  1.449035791820E-03  0.000000000000E+00  0.000000000000E+00
      1    -5 -3.800453580449E-04 -3.041100738879E-04  0.000000000000E+00  0.000000000000E+00
      1    -6  2.892851649162E-04 -1.779774132428E-05  0.000000000000E+00  0.000000000000E+00
      1    -7  1.155331697565E-04 -1.672965509474E-04  0.000000000000E+00  0.000000000000E+00
      1    -8  7.354529596502E-05 -4.003467255215E-05  0.000000000000E+00  0.000000000000E+00
      1    -9 -1.813534538251E-05  2.543068707516E-05  0.000000000000E+00  0.000000000000E+00
      1   -10 -4.397471776873E-07 -1.765896363961E-07  0.000000000000E+00  0.000000000000E+00
      1   -11 -6.521926391649E-06  1.150749688085E-05  0.000000000000E+00  0.000000000000E+00
      1   -12 -4.752167832684E-06  1.183562876389E-05  0.000000000000E+00  0.000000000000E+00
      1   -13  2.659793257797E-06  3.347370281518E-07  0.000000000000E+00  0.000000000000E+00
      1   -14 -6.001436581927E-07  3.226541552645E-06  0.000000000000E+00  0.000000000000E+00
      1   -15  7.312819221592E-07 -1.051052184356E-06  0.000000000000E+00  0.000000000000E+00
      1   -16  8.115260265451E-07 -4.590554140455E-07  0.000000000000E+00  0.000000000000E+00
      1   -17  2.211571048386E-07 -1.381663119918E-07  0.000000000000E+00  0.000000000000E+00
      1   -18  2.499715619950E-07 -3.698622155566E-07  0.000000000000E+00  0.000000000000E+00
      1   -19  5.044850815477E-08 -1.231955879241E-08  0.000000000000E+00  0.000000000000E+00
      1   -20  4.057857218401E-08 -5.359206695277E-08  0.000000000000E+00  0.000000000000E+00
      1   -21  3.467047263042E-08  9.178301916536E-09  0.000000000000E+00  0.000000000000E+00
      1   -22 -8.315957925368E-09  2.088813450636E-08  0.000000000000E+00  0.000000000000E+00
      1   -23  5.543745402434E-09  1.347650110707E-09  0.000000000000E+00  0.000000000000E+00
      1   -24 -4.661085341263E-09  7.399289769561E-09  0.000000000000E+00  0.000000000000E+00
      2    24  8.898633965259E-09  2.813948168788E-09  0.000000000000E+00  0.000000000000E+00
      2    23  8.745589737374E-09  7.393312913517E-10  0.000000000000E+00  0.000000000000E+00
      2    22  8.845599010657E-09 -6.356976810856E-09  0.000000000000E+00  0.000000000000E+00
