------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     3  0.000000000000E+00  0.000000000000E+00  4.972592538028E+00

------ Current Surface: Coil-Plasma separation =   2.891952330440E-01 -----
Number of fourier modes in table
         545
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  1.397593741513E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.286357246895E-02 -2.189469599795E-02  0.000000000000E+00  0.000000000000E+00
      0    -2  8.665278750565E-04  7.467448489667E-03  0.000000000000E+00  0.000000000000E+00
      0    -3  4.019495866685E-03 -3.588337432259E-03  0.000000000000E+00  0.000000000000E+00
      0    -4 -1.091568783263E-03  1.449177790823E-03  0.000000000000E+00  0.000000000000E+00
      0    -5  1.139779166398E-04 -5.032483358243E-04  0.000000000000E+00  0.000000000000E+00
      0    -6 -5.804710485157E-05  2.550620957603E-04  0.000000000000E+00  0.000000000000E+00
      0    -7 -1.159953774315E-04  1.506496464578E-04  0.000000000000E+00  0.000000000000E+00
      0    -8  2.903295061845E-05 -4.968584830771E-05  0.000000000000E+00  0.000000000000E+00
      0    -9 -2.548337849420E-05 -4.255905605703E-07  0.000000000000E+00  0.000000000000E+00
      0   -10  6.495807619590E-06 -3.173751329022E-05  0.000000000000E+00  0.000000000000E+00
      0   -11 -9.970293730018E-06 -2.375327741254E-05  0.000000000000E+00  0.000000000000E+00
      0   -12  2.049969259493E-06  7.162842225823E-06  0.000000000000E+00  0.000000000000E+00
      0   -13  1.617025816129E-05  1.063214375688E-05  0.000000000000E+00  0.000000000000E+00
      0   -14 -9.891666257465E-07  5.179769330272E-06  0.000000000000E+00  0.000000000000E+00
      0   -15 -1.470280918797E-05 -8.050923760852E-06  0.000000000000E+00  0.000000000000E+00
      0   -16 -8.702288054882E-06 -3.776749022855E-18  0.000000000000E+00  0.000000000000E+00
      1    16  2.620857318557E-06  1.510128262391E-06  0.000000000000E+00  0.000000000000E+00
      1    15  1.516931816295E-05 -5.939420621035E-06  0.000000000000E+00  0.000000000000E+00
      1    14  2.233693153505E-05 -1.714391465120E-05  0.000000000000E+00  0.000000000000E+00
      1    13  1.085652704178E-05 -4.455772411050E-06  0.000000000000E+00  0.000000000000E+00
      1    12 -1.325171261684E-05  1.675267258440E-05  0.000000000000E+00  0.000000000000E+00
      1    11 -7.816843812596E-06  1.563832042873E-05  0.000000000000E+00  0.000000000000E+00
      1    10  1.491829084799E-05 -1.046909439851E-05  0.000000000000E+00  0.000000000000E+00
      1     9 -8.511300207803E-06 -4.035095228800E-05  0.000000000000E+00  0.000000000000E+00
      1     8  4.540992783941E-05 -2.900894192911E-05  0.000000000000E+00  0.000000000000E+00
      1     7 -1.901987268580E-05  5.379799224415E-05  0.000000000000E+00  0.000000000000E+00
      1     6  1.574624423302E-04 -4.065195597794E-05  0.000000000000E+00  0.000000000000E+00
      1     5  1.060824382953E-04  3.165923803685E-04  0.000000000000E+00  0.000000000000E+00
      1     4 -5.457149115296E-04 -2.695495353290E-04  0.000000000000E+00  0.000000000000E+00
      1     3  3.229300295784E-03  2.573090552974E-03  0.000000000000E+00  0.000000000000E+00
      1     2 -1.114424696635E-02 -3.739408116216E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -1.689526604198E-02 -4.282430635458E-02  0.000000000000E+00  0.000000000000E+00
      1     0  5.893721145983E-01  6.935967131069E-01  0.000000000000E+00  0.000000000000E+00
      1    -1 -4.921530352528E-02  1.413931106913E-01  0.000000000000E+00  0.000000000000E+00
      1    -2 -1.200990275933E-02  1.763480018865E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -3.923912183252E-03  8.292848658700E-04  0.000000000000E+00  0.000000000000E+00
      1    -4  4.785249843955E-04  1.484632347981E-03  0.000000000000E+00  0.000000000000E+00
      1    -5 -3.445363218560E-04 -3.409623869211E-04  0.000000000000E+00  0.000000000000E+00
      1    -6  2.743745122558E-04 -1.683409664570E-05  0.000000000000E+00  0.000000000000E+00
      1    -7  1.188590879444E-04 -1.656643315707E-04  0.000000000000E+00  0.000000000000E+00
      1    -8  6.735476614606E-05 -2.857895011320E-05  0.000000000000E+00  0.000000000000E+00
      1    -9 -2.528252442106E-05  1.763079965117E-05  0.000000000000E+00  0.000000000000E+00
      1   -10 -7.625159978387E-06 -5.580738547884E-06  0.000000000000E+00  0.000000000000E+00
      1   -11  1.132768166582E-06  1.977062156424E-05  0.000000000000E+00  0.000000000000E+00
      1   -12  4.854565600614E-06  2.585868172391E-05  0.000000000000E+00  0.000000000000E+00
      1   -13 -5.314078600283E-06 -1.462241040919E-06  0.000000000000E+00  0.000000000000E+00
      1   -14 -1.827378509914E-05 -9.927500804025E-06  0.000000000000E+00  0.000000000000E+00
      1   -15 -8.376094242762E-06 -5.726369676667E-06  0.000000000000E+00  0.000000000000E+00
      1   -16  2.620857318560E-06  1.510128262391E-06  0.000000000000E+00  0.000000000000E+00
      2    16  7.359176631594E-06 -1.159553666465E-07  0.000000000000E+00  0.000000000000E+00
      2    15  6.410972315045E-06 -5.949123692405E-06  0.000000000000E+00  0.000000000000E+00
      2    14 -8.204775271570E-06  4.567164838348E-06  0.000000000000E+00  0.000000000000E+00
      2    13 -2.485393184166E-05  2.622287028351E-05  0.000000000000E+00  0.000000000000E+00
      2    12 -1.433955363370E-05  1.057197493397E-05  0.000000000000E+00  0.000000000000E+00
      2    11  8.278431576112E-06 -2.219814652087E-05  0.000000000000E+00  0.000000000000E+00
      2    10  1.661116748444E-05 -2.440045148282E-05  0.000000000000E+00  0.000000000000E+00
      2     9 -3.275905427215E-05  3.097591737015E-06  0.000000000000E+00  0.000000000000E+00
      2     8  2.779307016537E-05  2.783473623356E-05  0.000000000000E+00  0.000000000000E+00
      2     7 -5.424126666011E-05  1.835597104655E-05  0.000000000000E+00  0.000000000000E+00
      2     6 -1.270165043644E-04 -1.536519053018E-04  0.000000000000E+00  0.000000000000E+00
      2     5 -4.961117376629E-05 -1.890404255862E-04  0.000000000000E+00  0.000000000000E+00
      2     4  4.601512128963E-04  3.974279735981E-04  0.000000000000E+00  0.000000000000E+00
      2     3 -7.170969622213E-04 -9.754130087096E-04  0.000000000000E+00  0.000000000000E+00
      2     2 -7.737451039306E-03 -7.397875709532E-03  0.000000000000E+00  0.000000000000E+00
      2     1  2.450115946705E-02  2.325656696661E-02  0.000000000000E+00  0.000000000000E+00
      2     0  6.111775832254E-02  5.363714876084E-02  0.000000000000E+00  0.000000000000E+00
      2    -1  6.082466517829E-02  5.353051603665E-02  0.000000000000E+00  0.000000000000E+00
      2    -2  3.575001608183E-02  1.572288208975E-02  0.000000000000E+00  0.000000000000E+00
      2    -3  5.645321570589E-03 -5.471527607792E-03  0.000000000000E+00  0.000000000000E+00
      2    -4  1.840100078840E-03 -1.219956628351E-03  0.000000000000E+00  0.000000000000E+00
      2    -5 -9.240135471877E-04 -2.975738869330E-04  0.000000000000E+00  0.000000000000E+00
      2    -6  2.747590244346E-04 -9.732878229422E-05  0.000000000000E+00  0.000000000000E+00
      2    -7 -1.559170849785E-04  1.100874790047E-04  0.000000000000E+00  0.000000000000E+00
      2    -8 -6.635189418503E-05  5.820967650141E-05  0.000000000000E+00  0.000000000000E+00
      2    -9 -2.353718685812E-05  9.112645552332E-06  0.000000000000E+00  0.000000000000E+00
      2   -10  2.897803032726E-05  6.714118530479E-06  0.000000000000E+00  0.000000000000E+00
