------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  5.435238036313E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.645350076164E-01 -5.301995448546E-02  0.000000000000E+00  0.000000000000E+00
      0    -2  2.931881273330E-02 -2.766049911641E-02  0.000000000000E+00  0.000000000000E+00
      0    -3  1.298790208032E-03 -1.235122409500E-03  0.000000000000E+00  0.000000000000E+00
      0    -4  7.484254527709E-04 -8.058884551117E-04  0.000000000000E+00  0.000000000000E+00
      0    -5  4.233260561423E-05 -4.353579186312E-05  0.000000000000E+00  0.000000000000E+00
      0    -6  3.090095308888E-06 -4.854936615133E-06  0.000000000000E+00  0.000000000000E+00
      0    -7  1.161513226643E-05 -1.200700226840E-05  0.000000000000E+00  0.000000000000E+00
      0    -8 -2.625416453727E-06  2.461181218229E-06  0.000000000000E+00  0.000000000000E+00
      0    -9  1.333124393813E-06 -1.320637435181E-06  0.000000000000E+00  0.000000000000E+00
      0   -10 -2.627624335109E-07  2.418606871882E-07  0.000000000000E+00  0.000000000000E+00
      0   -11  8.194546317593E-08 -7.828590153249E-08  0.000000000000E+00  0.000000000000E+00
      0   -12 -2.371366529140E-09  9.510227897617E-10  0.000000000000E+00  0.000000000000E+00
      0   -13 -3.203129868116E-09  2.902244742667E-09  0.000000000000E+00  0.000000000000E+00
      0   -14  3.190445563338E-09 -3.680752259596E-09  0.000000000000E+00  0.000000000000E+00
      0   -15  7.696584526391E-10  3.630947537184E-09  0.000000000000E+00  0.000000000000E+00
      0   -16 -2.813879861291E-09 -3.735254279084E-09  0.000000000000E+00  0.000000000000E+00
      0   -17 -4.742593401926E-09 -5.088038841541E-09  0.000000000000E+00  0.000000000000E+00
      0   -18  2.157352229455E-08  2.108404616306E-08  0.000000000000E+00  0.000000000000E+00
      0   -19 -9.751398383218E-09 -6.099136462006E-09  0.000000000000E+00  0.000000000000E+00
      0   -20 -6.145761978255E-08 -6.412995473842E-08  0.000000000000E+00  0.000000000000E+00
      0   -21  8.413446305399E-08  7.415205017178E-08  0.000000000000E+00  0.000000000000E+00
      0   -22  9.053291570994E-08  1.069379210447E-07  0.000000000000E+00  0.000000000000E+00
      0   -23 -2.428391884524E-07 -2.288916419920E-07  0.000000000000E+00  0.000000000000E+00
      0   -24 -3.470755735807E-08 -8.093566922288E-08  0.000000000000E+00  0.000000000000E+00
      1    24 -3.388298097325E-07  3.697828223238E-07  0.000000000000E+00  0.000000000000E+00
      1    23 -1.413472824011E-07  9.958313319235E-08  0.000000000000E+00  0.000000000000E+00
      1    22  2.339636365821E-07 -2.364188395353E-07  0.000000000000E+00  0.000000000000E+00
      1    21 -1.267280636767E-09  1.877154432357E-08  0.000000000000E+00  0.000000000000E+00
      1    20 -9.690718245372E-08  9.286528518892E-08  0.000000000000E+00  0.000000000000E+00
      1    19  3.031738614106E-08 -3.444497284628E-08  0.000000000000E+00  0.000000000000E+00
      1    18  2.069521710469E-08 -1.842580318058E-08  0.000000000000E+00  0.000000000000E+00
      1    17 -1.506654159203E-08  1.525461401532E-08  0.000000000000E+00  0.000000000000E+00
      1    16  4.136206409387E-10 -4.187395612003E-10  0.000000000000E+00  0.000000000000E+00
      1    15  2.071877654832E-09 -4.103379580296E-09  0.000000000000E+00  0.000000000000E+00
      1    14  1.845173265374E-09  4.237246430653E-09  0.000000000000E+00  0.000000000000E+00
      1    13 -8.338384154156E-09 -8.322494040252E-09  0.000000000000E+00  0.000000000000E+00
      1    12  1.428302790981E-08  1.381435868826E-08  0.000000000000E+00  0.000000000000E+00
      1    11 -1.648991095884E-08 -2.015100221878E-08  0.000000000000E+00  0.000000000000E+00
      1    10 -8.323097871435E-08 -7.948316685662E-08  0.000000000000E+00  0.000000000000E+00
      1     9  4.434643845412E-07  3.927677915829E-07  0.000000000000E+00  0.000000000000E+00
      1     8 -2.356679572506E-06 -2.363175024800E-06  0.000000000000E+00  0.000000000000E+00
      1     7  6.812727385369E-06  6.376222257414E-06  0.000000000000E+00  0.000000000000E+00
      1     6 -2.573206647178E-05 -2.651799494599E-05  0.000000000000E+00  0.000000000000E+00
      1     5  3.612625320936E-05  3.045650208111E-05  0.000000000000E+00  0.000000000000E+00
      1     4 -1.295632991203E-04 -1.396330962187E-04  0.000000000000E+00  0.000000000000E+00
      1     3 -9.657749481791E-04 -1.083916835781E-03  0.000000000000E+00  0.000000000000E+00
      1     2  1.188145538269E-03  1.791901400121E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -4.570816436525E-02 -4.412168522765E-02  0.000000000000E+00  0.000000000000E+00
      1     0  9.519742898688E-01  1.024893162752E+00  0.000000000000E+00  0.000000000000E+00
      1    -1 -1.136913767531E-01  7.641598714596E-02  0.000000000000E+00  0.000000000000E+00
      1    -2 -2.184502208505E-02  1.305180564174E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -7.142845503647E-03  6.632691587157E-03  0.000000000000E+00  0.000000000000E+00
      1    -4  3.160195688105E-04 -3.952438699446E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -3.202830730043E-04  3.157967375400E-04  0.000000000000E+00  0.000000000000E+00
      1    -6  1.178810582630E-05 -1.714978870464E-05  0.000000000000E+00  0.000000000000E+00
      1    -7 -4.036918064784E-06  2.662952293372E-06  0.000000000000E+00  0.000000000000E+00
      1    -8 -3.431421888214E-06  3.116524767870E-06  0.000000000000E+00  0.000000000000E+00
      1    -9  1.084880743802E-06 -1.170585019307E-06  0.000000000000E+00  0.000000000000E+00
      1   -10 -6.060073001117E-07  5.623819486632E-07  0.000000000000E+00  0.000000000000E+00
      1   -11  1.601592319015E-07 -1.627794146428E-07  0.000000000000E+00  0.000000000000E+00
      1   -12 -5.198178107619E-08  4.693557468561E-08  0.000000000000E+00  0.000000000000E+00
      1   -13  7.813379919626E-09 -8.379630042290E-09  0.000000000000E+00  0.000000000000E+00
      1   -14 -1.412832704561E-10  2.727050448659E-10  0.000000000000E+00  0.000000000000E+00
      1   -15 -2.343641879957E-10  1.806065029789E-09  0.000000000000E+00  0.000000000000E+00
      1   -16 -2.722744027852E-09 -3.964747174773E-09  0.000000000000E+00  0.000000000000E+00
      1   -17  2.010555814919E-09  2.082861141347E-09  0.000000000000E+00  0.000000000000E+00
      1   -18  1.136794561160E-08  1.179101176150E-08  0.000000000000E+00  0.000000000000E+00
      1   -19 -2.408803486320E-08 -2.245936342660E-08  0.000000000000E+00  0.000000000000E+00
      1   -20 -1.204353889458E-08 -1.653432820342E-08  0.000000000000E+00  0.000000000000E+00
      1   -21  8.473429633968E-08  8.378538743805E-08  0.000000000000E+00  0.000000000000E+00
      1   -22 -3.725199159820E-08 -2.223568799865E-08  0.000000000000E+00  0.000000000000E+00
      1   -23 -1.689795428124E-07 -1.777274481607E-07  0.000000000000E+00  0.000000000000E+00
      1   -24  1.734150755438E-07  1.438740019668E-07  0.000000000000E+00  0.000000000000E+00
      2    24 -5.150720035615E-07  4.900533473599E-07  0.000000000000E+00  0.000000000000E+00
      2    23  1.600206438906E-07 -2.111733109378E-07  0.000000000000E+00  0.000000000000E+00
      2    22  2.640444790709E-07 -2.377775833187E-07  0.000000000000E+00  0.000000000000E+00
      2    21 -1.601704351355E-07  1.742945462121E-07  0.000000000000E+00  0.000000000000E+00
      2    20 -6.771666556009E-08  5.414874222579E-08  0.000000000000E+00  0.000000000000E+00
      2    19  8.106486183821E-08 -8.170269321314E-08  0.000000000000E+00  0.000000000000E+00
      2    18 -3.200515419095E-09  7.075825939889E-09  0.000000000000E+00  0.000000000000E+00
      2    17 -2.195010486274E-08  2.101259005028E-08  0.000000000000E+00  0.000000000000E+00
      2    16  8.153114977420E-09 -8.649704365520E-09  0.000000000000E+00  0.000000000000E+00
      2    15  1.617860850606E-09 -1.966173433091E-09  0.000000000000E+00  0.000000000000E+00
      2    14 -5.873364369515E-10  4.005328593695E-09  0.000000000000E+00  0.000000000000E+00
      2    13 -5.398483393171E-09 -6.353180077956E-09  0.000000000000E+00  0.000000000000E+00
      2    12  1.797375275968E-08  1.763304521043E-08  0.000000000000E+00  0.000000000000E+00
      2    11 -4.069556526389E-08 -4.002979928987E-08  0.000000000000E+00  0.000000000000E+00
      2    10  7.209110478956E-08  7.711802525666E-08  0.000000000000E+00  0.000000000000E+00
      2     9  2.217083810811E-09 -5.572306643724E-09  0.000000000000E+00  0.000000000000E+00
      2     8 -5.982445493821E-07 -5.224588642320E-07  0.000000000000E+00  0.000000000000E+00
      2     7  3.756270504646E-06  3.710500304209E-06  0.000000000000E+00  0.000000000000E+00
      2     6 -1.529987178302E-05 -1.475081865521E-05  0.000000000000E+00  0.000000000000E+00
      2     5  5.277060320960E-05  5.330028068946E-05  0.000000000000E+00  0.000000000000E+00
      2     4 -1.439847376180E-04 -1.344813296192E-04  0.000000000000E+00  0.000000000000E+00
      2     3  2.351107315324E-04  2.306782159254E-04  0.000000000000E+00  0.000000000000E+00
      2     2 -4.028668799014E-05  6.682633190284E-05  0.000000000000E+00  0.000000000000E+00
      2     1 -6.728344104211E-03 -6.372234810146E-03  0.000000000000E+00  0.000000000000E+00
      2     0  1.444869604652E-01  1.460646739075E-01  0.000000000000E+00  0.000000000000E+00
      2    -1  2.423816169786E-01  2.717808317741E-01  0.000000000000E+00  0.000000000000E+00
      2    -2  2.605103482217E-03  2.005443786248E-02  0.000000000000E+00  0.000000000000E+00
      2    -3  2.763339757347E-04  4.347085478867E-04  0.000000000000E+00  0.000000000000E+00
      2    -4  6.080535024167E-04 -5.565119917234E-04  0.000000000000E+00  0.000000000000E+00
      2    -5 -4.971820697575E-04  5.710237557897E-04  0.000000000000E+00  0.000000000000E+00
