------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  5.435238036314E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.645350076139E-01 -5.301995448218E-02  0.000000000000E+00  0.000000000000E+00
      0    -2  2.931881273265E-02 -2.766049911928E-02  0.000000000000E+00  0.000000000000E+00
      0    -3  1.298790219081E-03 -1.235122419846E-03  0.000000000000E+00  0.000000000000E+00
      0    -4  7.484254485702E-04 -8.058884434031E-04  0.000000000000E+00  0.000000000000E+00
      0    -5  4.233257811530E-05 -4.353576757722E-05  0.000000000000E+00  0.000000000000E+00
      0    -6  3.090112769573E-06 -4.854966332931E-06  0.000000000000E+00  0.000000000000E+00
      0    -7  1.161517553670E-05 -1.200703615603E-05  0.000000000000E+00  0.000000000000E+00
      0    -8 -2.625456469293E-06  2.461238290568E-06  0.000000000000E+00  0.000000000000E+00
      0    -9  1.333069659571E-06 -1.320615233197E-06  0.000000000000E+00  0.000000000000E+00
      0   -10 -2.626823842076E-07  2.417991100053E-07  0.000000000000E+00  0.000000000000E+00
      0   -11  8.199619532770E-08 -7.827181983754E-08  0.000000000000E+00  0.000000000000E+00
      0   -12 -2.605177572908E-09  8.629969693567E-10  0.000000000000E+00  0.000000000000E+00
      0   -13 -2.894521392645E-09  3.183180642333E-09  0.000000000000E+00  0.000000000000E+00
      0   -14  3.434241504997E-09 -3.488768354510E-09  0.000000000000E+00  0.000000000000E+00
      0   -15 -1.439856011764E-09  1.431397813810E-09  0.000000000000E+00  0.000000000000E+00
      0   -16  5.933608536153E-10 -5.798229555441E-10  0.000000000000E+00  0.000000000000E+00
      0   -17 -1.721789660717E-10  1.663831098027E-10  0.000000000000E+00  0.000000000000E+00
      0   -18  4.411882632230E-11 -4.084757409060E-11  0.000000000000E+00  0.000000000000E+00
      0   -19 -4.980711752322E-12  3.675727752805E-12  0.000000000000E+00  0.000000000000E+00
      0   -20 -2.046841103727E-12  2.772227249937E-12  0.000000000000E+00  0.000000000000E+00
      0   -21  2.429983026863E-12 -2.062933969089E-12  0.000000000000E+00  0.000000000000E+00
      0   -22 -9.856006527413E-13  1.233306090310E-12  0.000000000000E+00  0.000000000000E+00
      0   -23  1.236082633818E-14 -6.177781708774E-13  0.000000000000E+00  0.000000000000E+00
      0   -24  2.811076024734E-14  3.760137749667E-13  0.000000000000E+00  0.000000000000E+00
      1    24 -2.211693285112E-13  8.991049414318E-14  0.000000000000E+00  0.000000000000E+00
      1    23  4.746096636359E-13  4.761228913843E-13  0.000000000000E+00  0.000000000000E+00
      1    22 -1.131461840453E-12 -5.986558091701E-13  0.000000000000E+00  0.000000000000E+00
      1    21  2.173852677728E-12  1.912224552829E-12  0.000000000000E+00  0.000000000000E+00
      1    20 -5.486307480367E-12 -5.054071281968E-12  0.000000000000E+00  0.000000000000E+00
      1    19  8.957304678796E-12  8.689076932264E-12  0.000000000000E+00  0.000000000000E+00
      1    18 -5.186166166654E-12 -7.018658358734E-12  0.000000000000E+00  0.000000000000E+00
      1    17 -4.937678586316E-11 -4.469890057489E-11  0.000000000000E+00  0.000000000000E+00
      1    16  2.689263413737E-10  2.525701338349E-10  0.000000000000E+00  0.000000000000E+00
      1    15 -1.078048772756E-09 -1.054817862409E-09  0.000000000000E+00  0.000000000000E+00
      1    14  3.093862489117E-09  3.013531453826E-09  0.000000000000E+00  0.000000000000E+00
      1    13 -8.299122213236E-09 -8.400927272664E-09  0.000000000000E+00  0.000000000000E+00
      1    12  1.401449290536E-08  1.400131637281E-08  0.000000000000E+00  0.000000000000E+00
      1    11 -1.633574065677E-08 -2.018601903474E-08  0.000000000000E+00  0.000000000000E+00
      1    10 -8.322273253468E-08 -7.944782230858E-08  0.000000000000E+00  0.000000000000E+00
      1     9  4.433876685403E-07  3.927141113921E-07  0.000000000000E+00  0.000000000000E+00
      1     8 -2.356666857320E-06 -2.363189230639E-06  0.000000000000E+00  0.000000000000E+00
      1     7  6.812774532825E-06  6.376275238731E-06  0.000000000000E+00  0.000000000000E+00
      1     6 -2.573208155172E-05 -2.651799802114E-05  0.000000000000E+00  0.000000000000E+00
      1     5  3.612622713438E-05  3.045647122708E-05  0.000000000000E+00  0.000000000000E+00
      1     4 -1.295632865993E-04 -1.396330898991E-04  0.000000000000E+00  0.000000000000E+00
      1     3 -9.657749391536E-04 -1.083916823045E-03  0.000000000000E+00  0.000000000000E+00
      1     2  1.188145532651E-03  1.791901396845E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -4.570816436658E-02 -4.412168523141E-02  0.000000000000E+00  0.000000000000E+00
      1     0  9.519742898696E-01  1.024893162753E+00  0.000000000000E+00  0.000000000000E+00
      1    -1 -1.136913767554E-01  7.641598714680E-02  0.000000000000E+00  0.000000000000E+00
      1    -2 -2.184502208162E-02  1.305180563599E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -7.142845497663E-03  6.632691585664E-03  0.000000000000E+00  0.000000000000E+00
      1    -4  3.160195533878E-04 -3.952438513302E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -3.202830830650E-04  3.157967379563E-04  0.000000000000E+00  0.000000000000E+00
      1    -6  1.178814466582E-05 -1.714983063192E-05  0.000000000000E+00  0.000000000000E+00
      1    -7 -4.036910958566E-06  2.662963099485E-06  0.000000000000E+00  0.000000000000E+00
      1    -8 -3.431488222856E-06  3.116590833882E-06  0.000000000000E+00  0.000000000000E+00
      1    -9  1.084887614712E-06 -1.170622589529E-06  0.000000000000E+00  0.000000000000E+00
      1   -10 -6.059101273887E-07  5.623242178595E-07  0.000000000000E+00  0.000000000000E+00
      1   -11  1.601050969070E-07 -1.627355940305E-07  0.000000000000E+00  0.000000000000E+00
      1   -12 -5.211213472778E-08  4.693032214015E-08  0.000000000000E+00  0.000000000000E+00
      1   -13  8.136885956147E-09 -8.184189142802E-09  0.000000000000E+00  0.000000000000E+00
      1   -14 -4.318856739252E-10 -4.724758542002E-11  0.000000000000E+00  0.000000000000E+00
      1   -15 -1.050665279930E-09  1.021088380887E-09  0.000000000000E+00  0.000000000000E+00
      1   -16  6.253021465419E-10 -6.532942039808E-10  0.000000000000E+00  0.000000000000E+00
      1   -17 -2.865744862550E-10  2.752910136127E-10  0.000000000000E+00  0.000000000000E+00
      1   -18  1.006591542974E-10 -1.004985832458E-10  0.000000000000E+00  0.000000000000E+00
      1   -19 -2.939907638080E-11  2.767682881414E-11  0.000000000000E+00  0.000000000000E+00
      1   -20  6.045262326750E-12 -6.123245000339E-12  0.000000000000E+00  0.000000000000E+00
      1   -21 -2.294701429741E-13  1.417504817613E-13  0.000000000000E+00  0.000000000000E+00
      1   -22 -7.044663788945E-13  2.232484759123E-13  0.000000000000E+00  0.000000000000E+00
      1   -23  9.311629700810E-13 -4.981820518450E-13  0.000000000000E+00  0.000000000000E+00
      1   -24 -2.343886803396E-13  1.461828332266E-13  0.000000000000E+00  0.000000000000E+00
      2    24  4.908375138626E-13 -4.433106612107E-13  0.000000000000E+00  0.000000000000E+00
      2    23 -2.649793362161E-13 -2.791837195996E-14  0.000000000000E+00  0.000000000000E+00
      2    22 -4.958723319112E-14  4.178724898117E-14  0.000000000000E+00  0.000000000000E+00
      2    21  1.343820942110E-12  1.448281646249E-12  0.000000000000E+00  0.000000000000E+00
      2    20 -4.078151987115E-12 -3.654356483894E-12  0.000000000000E+00  0.000000000000E+00
      2    19  1.117542234967E-11  1.152977861534E-11  0.000000000000E+00  0.000000000000E+00
      2    18 -2.434244017295E-11 -2.407241346058E-11  0.000000000000E+00  0.000000000000E+00
      2    17  3.589701772595E-11  3.831651790270E-11  0.000000000000E+00  0.000000000000E+00
      2    16  1.721280474924E-11  1.025626360336E-11  0.000000000000E+00  0.000000000000E+00
      2    15 -3.490529189472E-10 -3.178182711690E-10  0.000000000000E+00  0.000000000000E+00
      2    14  1.757162806319E-09  1.700654010484E-09  0.000000000000E+00  0.000000000000E+00
      2    13 -5.997708052755E-09 -5.796511581206E-09  0.000000000000E+00  0.000000000000E+00
      2    12  1.782336293658E-08  1.778281874780E-08  0.000000000000E+00  0.000000000000E+00
      2    11 -4.048491544447E-08 -4.013065008008E-08  0.000000000000E+00  0.000000000000E+00
      2    10  7.200740552741E-08  7.714175120678E-08  0.000000000000E+00  0.000000000000E+00
      2     9  2.174929290919E-09 -5.621247628373E-09  0.000000000000E+00  0.000000000000E+00
      2     8 -5.981925759757E-07 -5.224300062496E-07  0.000000000000E+00  0.000000000000E+00
      2     7  3.756288182285E-06  3.710536628900E-06  0.000000000000E+00  0.000000000000E+00
      2     6 -1.529990814714E-05 -1.475085222199E-05  0.000000000000E+00  0.000000000000E+00
      2     5  5.277059765309E-05  5.330026574061E-05  0.000000000000E+00  0.000000000000E+00
      2     4 -1.439847155855E-04 -1.344813090026E-04  0.000000000000E+00  0.000000000000E+00
      2     3  2.351107306039E-04  2.306782209780E-04  0.000000000000E+00  0.000000000000E+00
      2     2 -4.028669570455E-05  6.682632318020E-05  0.000000000000E+00  0.000000000000E+00
      2     1 -6.728344102189E-03 -6.372234810770E-03  0.000000000000E+00  0.000000000000E+00
      2     0  1.444869604669E-01  1.460646739097E-01  0.000000000000E+00  0.000000000000E+00
      2    -1  2.423816169771E-01  2.717808317739E-01  0.000000000000E+00  0.000000000000E+00
      2    -2  2.605103485772E-03  2.005443785880E-02  0.000000000000E+00  0.000000000000E+00
      2    -3  2.763339738824E-04  4.347085541015E-04  0.000000000000E+00  0.000000000000E+00
      2    -4  6.080534878302E-04 -5.565119807803E-04  0.000000000000E+00  0.000000000000E+00
      2    -5 -4.971820575276E-04  5.710237347058E-04  0.000000000000E+00  0.000000000000E+00
