------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  5.483816498779E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  2.659915736996E-01 -1.638005484927E-01  0.000000000000E+00  0.000000000000E+00
      0    -2  1.626295701349E-03 -6.494399437280E-04  0.000000000000E+00  0.000000000000E+00
      0    -3  3.656186093438E-03 -3.815427202371E-03  0.000000000000E+00  0.000000000000E+00
      0    -4 -3.201415723076E-05  9.608823142206E-05  0.000000000000E+00  0.000000000000E+00
      0    -5  4.061212632254E-05 -4.203393649254E-05  0.000000000000E+00  0.000000000000E+00
      0    -6  6.302413535848E-06 -5.275618139629E-06  0.000000000000E+00  0.000000000000E+00
      0    -7 -1.107769407323E-06  1.145148176674E-06  0.000000000000E+00  0.000000000000E+00
      0    -8  9.294723318483E-07 -9.521279337564E-07  0.000000000000E+00  0.000000000000E+00
      0    -9 -1.221078941979E-07  9.661556703579E-08  0.000000000000E+00  0.000000000000E+00
      0   -10  1.172597980385E-07 -2.042418128027E-07  0.000000000000E+00  0.000000000000E+00
      0   -11  3.230748783561E-08  5.384322712835E-08  0.000000000000E+00  0.000000000000E+00
      0   -12  4.804420514464E-08  9.249390669184E-08  0.000000000000E+00  0.000000000000E+00
      0   -13  6.081842458990E-08 -1.539923898705E-07  0.000000000000E+00  0.000000000000E+00
      0   -14  6.732825588197E-08 -2.263320721382E-07  0.000000000000E+00  0.000000000000E+00
      0   -15 -7.286438653018E-09  1.473377140267E-07  0.000000000000E+00  0.000000000000E+00
      0   -16 -5.332783724578E-08  2.088046049729E-07  0.000000000000E+00  0.000000000000E+00
      0   -17 -9.651626980273E-11 -2.063630628679E-07  0.000000000000E+00  0.000000000000E+00
      0   -18  4.750237918641E-08 -1.796227324760E-07  0.000000000000E+00  0.000000000000E+00
      0   -19 -3.826224443499E-08  3.474035241650E-07  0.000000000000E+00  0.000000000000E+00
      0   -20 -6.910994065543E-08  7.153813600645E-08  0.000000000000E+00  0.000000000000E+00
      0   -21  8.065844059151E-08 -4.446500886392E-07  0.000000000000E+00  0.000000000000E+00
      0   -22  4.376673472706E-08  1.926496400922E-07  0.000000000000E+00  0.000000000000E+00
      0   -23 -1.210355455895E-07  3.647787332591E-07  0.000000000000E+00  0.000000000000E+00
      0   -24  1.567753683818E-09 -4.723237786962E-07  0.000000000000E+00  0.000000000000E+00
      1    24 -6.304371873052E-07 -5.259631378578E-07  0.000000000000E+00  0.000000000000E+00
      1    23  4.637320146638E-07  1.978861970302E-07  0.000000000000E+00  0.000000000000E+00
      1    22  4.367052781769E-07  5.502476343366E-07  0.000000000000E+00  0.000000000000E+00
      1    21 -1.047910645331E-06 -8.765242406811E-07  0.000000000000E+00  0.000000000000E+00
      1    20  8.828112620382E-07  6.551405753107E-07  0.000000000000E+00  0.000000000000E+00
      1    19 -7.528771255509E-07 -7.274456053517E-07  0.000000000000E+00  0.000000000000E+00
      1    18  1.661114648067E-06  1.742709958659E-06  0.000000000000E+00  0.000000000000E+00
      1    17 -3.407159175317E-06 -3.252610559251E-06  0.000000000000E+00  0.000000000000E+00
      1    16  5.000027301142E-06  4.554476694659E-06  0.000000000000E+00  0.000000000000E+00
      1    15 -6.316136498010E-06 -5.744805840632E-06  0.000000000000E+00  0.000000000000E+00
      1    14  7.449022879645E-06  6.752798365834E-06  0.000000000000E+00  0.000000000000E+00
      1    13 -6.635865044065E-06 -5.494535585761E-06  0.000000000000E+00  0.000000000000E+00
      1    12 -1.970400578491E-06 -3.934799784543E-06  0.000000000000E+00  0.000000000000E+00
      1    11  3.135982274564E-05  3.386068095566E-05  0.000000000000E+00  0.000000000000E+00
      1    10 -1.084106419766E-04 -1.114279379619E-04  0.000000000000E+00  0.000000000000E+00
      1     9  2.959722536851E-04  2.985824091681E-04  0.000000000000E+00  0.000000000000E+00
      1     8 -7.291094352675E-04 -7.287524886992E-04  0.000000000000E+00  0.000000000000E+00
      1     7  1.693892268311E-03  1.682325494884E-03  0.000000000000E+00  0.000000000000E+00
      1     6 -3.782634149283E-03 -3.739709517461E-03  0.000000000000E+00  0.000000000000E+00
      1     5  7.990247697082E-03  7.842559954053E-03  0.000000000000E+00  0.000000000000E+00
      1     4 -1.559134359917E-02 -1.511396505016E-02  0.000000000000E+00  0.000000000000E+00
      1     3  2.354029276424E-02  2.187177927148E-02  0.000000000000E+00  0.000000000000E+00
      1     2 -1.165649522293E-02 -6.120846281376E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -1.160849187897E-01 -1.295830759554E-01  0.000000000000E+00  0.000000000000E+00
      1     0  1.039365883639E+00  1.120972908126E+00  0.000000000000E+00  0.000000000000E+00
      1    -1 -1.751389989710E-02  2.928438017241E-01  0.000000000000E+00  0.000000000000E+00
      1    -2 -1.207798591017E-02  5.984878625142E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -2.694804750342E-02 -1.719971118508E-02  0.000000000000E+00  0.000000000000E+00
      1    -4  1.249872551633E-02  1.050031801129E-02  0.000000000000E+00  0.000000000000E+00
      1    -5 -7.107185152560E-03 -5.097385157650E-03  0.000000000000E+00  0.000000000000E+00
      1    -6  3.799810984989E-03  2.856483158592E-03  0.000000000000E+00  0.000000000000E+00
      1    -7 -2.060059930527E-03 -1.526770457644E-03  0.000000000000E+00  0.000000000000E+00
      1    -8  1.102072188141E-03  8.209174736405E-04  0.000000000000E+00  0.000000000000E+00
      1    -9 -5.816969469950E-04 -4.299116528176E-04  0.000000000000E+00  0.000000000000E+00
      1   -10  3.011795812719E-04  2.217740202278E-04  0.000000000000E+00  0.000000000000E+00
      1   -11 -1.521585250417E-04 -1.110489478544E-04  0.000000000000E+00  0.000000000000E+00
      1   -12  7.430426274131E-05  5.368341063995E-05  0.000000000000E+00  0.000000000000E+00
      1   -13 -3.441617645486E-05 -2.451582023914E-05  0.000000000000E+00  0.000000000000E+00
      1   -14  1.536842948275E-05  1.086540474061E-05  0.000000000000E+00  0.000000000000E+00
      1   -15 -5.920973439350E-06 -3.787839478292E-06  0.000000000000E+00  0.000000000000E+00
      1   -16  1.275569524369E-06  4.507476680623E-07  0.000000000000E+00  0.000000000000E+00
      1   -17  5.105508871054E-07  4.803304574663E-07  0.000000000000E+00  0.000000000000E+00
      1   -18 -4.647568116961E-07 -2.639553708692E-07  0.000000000000E+00  0.000000000000E+00
      1   -19  1.285801123532E-07  1.888841923106E-07  0.000000000000E+00  0.000000000000E+00
      1   -20 -5.603471317691E-07 -7.305677103293E-07  0.000000000000E+00  0.000000000000E+00
      1   -21  1.073070640290E-06  9.080275765900E-07  0.000000000000E+00  0.000000000000E+00
      1   -22 -7.010919379519E-07 -2.731615068227E-07  0.000000000000E+00  0.000000000000E+00
      1   -23 -2.943704219456E-07 -4.685944779301E-07  0.000000000000E+00  0.000000000000E+00
      1   -24  7.157360275762E-07  4.286622239750E-07  0.000000000000E+00  0.000000000000E+00
      2    24  5.099473047018E-07  4.128325611884E-07  0.000000000000E+00  0.000000000000E+00
      2    23 -2.143544454501E-07 -2.806694287091E-07  0.000000000000E+00  0.000000000000E+00
      2    22 -3.129899529583E-07 -1.708999754783E-07  0.000000000000E+00  0.000000000000E+00
      2    21  4.040111091729E-07  3.605527025372E-07  0.000000000000E+00  0.000000000000E+00
      2    20  6.327971015718E-08 -5.542354421400E-08  0.000000000000E+00  0.000000000000E+00
      2    19 -4.275539198396E-07 -2.613973691357E-07  0.000000000000E+00  0.000000000000E+00
      2    18  2.172245746588E-07  1.066707194992E-07  0.000000000000E+00  0.000000000000E+00
      2    17  1.903333640874E-07  3.500088030865E-07  0.000000000000E+00  0.000000000000E+00
      2    16  2.244101192481E-08 -4.201507043678E-07  0.000000000000E+00  0.000000000000E+00
      2    15 -5.272657616045E-07  3.249876034012E-07  0.000000000000E+00  0.000000000000E+00
      2    14  7.685700109892E-07 -5.597963392727E-07  0.000000000000E+00  0.000000000000E+00
      2    13 -8.363994214130E-07  1.181420640774E-06  0.000000000000E+00  0.000000000000E+00
      2    12  9.241726399896E-07 -2.181226025016E-06  0.000000000000E+00  0.000000000000E+00
      2    11 -1.838280855018E-06  2.498756710408E-06  0.000000000000E+00  0.000000000000E+00
      2    10  1.102699221311E-06 -3.473054887121E-06  0.000000000000E+00  0.000000000000E+00
      2     9  1.585242208034E-06  2.849869207545E-06  0.000000000000E+00  0.000000000000E+00
      2     8 -1.121669531852E-05  1.690551538028E-06  0.000000000000E+00  0.000000000000E+00
      2     7  3.643018987906E-05 -1.908880920842E-05  0.000000000000E+00  0.000000000000E+00
      2     6 -9.925734644908E-05  6.652839154889E-05  0.000000000000E+00  0.000000000000E+00
      2     5  2.300109667885E-04 -1.874839173955E-04  0.000000000000E+00  0.000000000000E+00
      2     4 -4.560126450945E-04  4.693727060355E-04  0.000000000000E+00  0.000000000000E+00
      2     3  7.093466478062E-04 -1.028021877335E-03  0.000000000000E+00  0.000000000000E+00
      2     2 -2.263231832369E-04  2.289608928315E-03  0.000000000000E+00  0.000000000000E+00
      2     1 -6.961956058228E-04 -2.244473568289E-03  0.000000000000E+00  0.000000000000E+00
      2     0  1.449583584051E-02  7.063908418174E-03  0.000000000000E+00  0.000000000000E+00
      2    -1  3.274536015385E-02  3.740278607155E-02  0.000000000000E+00  0.000000000000E+00
      2    -2  7.106265159413E-02 -3.835463130447E-02  0.000000000000E+00  0.000000000000E+00
      2    -3  1.341750170308E-02 -7.551963306538E-03  0.000000000000E+00  0.000000000000E+00
      2    -4  2.389130057760E-03 -3.059722650843E-03  0.000000000000E+00  0.000000000000E+00
      2    -5 -1.606390343907E-03  1.966569284940E-03  0.000000000000E+00  0.000000000000E+00
